Year,Month,Date,Hour,Place,Temperature,Temperature Category,Day Status,Ride Demand
2023,3,25,13,Koramangala,30.87249192822853,High Temp (Sunny),Holiday,97
2023,3,5,6,Marathahalli,24.693083328990163,Moderate Temp (Clear),Holiday,21
2023,12,1,23,Sadashivanagar,23.53058180417989,Moderate Temp (Clear),Working Day,65
2022,4,22,6,Whitefield,33.824481782911576,High Temp (Sunny),Working Day,22
2024,9,16,13,Bannerghatta,14.367484339544395,Low Temp (Rainy),Working Day,38
2024,4,2,6,Hebbal,25.026796651023474,Moderate Temp (Clear),Working Day,24
2023,12,22,3,Rajajinagar,28.9439668522114,High Temp (Sunny),Working Day,23
2023,2,3,5,JP Nagar,15.78715645459572,Low Temp (Rainy),Working Day,22
2024,8,23,21,Bannerghatta,21.55284745805869,Moderate Temp (Clear),Working Day,108
2022,5,11,12,Banashankari,36.81814388293138,High Temp (Sunny),Working Day,40
2024,5,5,19,Shivajinagar,24.44834754149042,Moderate Temp (Clear),Holiday,127
2024,7,7,21,R.T. Nagar,22.185668091014307,Moderate Temp (Clear),Holiday,121
2022,2,19,18,Malleswaram,27.289611987946465,Moderate Temp (Clear),Holiday,116
2023,2,8,21,Rajajinagar,28.734426844626103,High Temp (Sunny),Working Day,72
2022,11,7,10,Indiranagar,19.46426373713757,Moderate Temp (Clear),Working Day,96
2023,2,27,22,Rajajinagar,23.893533744724497,Moderate Temp (Clear),Working Day,78
2022,2,1,9,Domlur,37.69088055320012,High Temp (Sunny),Working Day,64
2024,10,8,5,Mahadevapura,26.911603095638355,Moderate Temp (Clear),Working Day,24
2024,11,15,7,Jayanagar,31.716639583716454,High Temp (Sunny),Working Day,75
2024,8,26,15,Domlur,15.660905608405104,Low Temp (Rainy),Working Day,45
2022,4,12,4,Rajarajeshwari Nagar,27.920739993126425,Moderate Temp (Clear),Working Day,24
2023,5,25,12,HSR Layout,24.70810308029363,Moderate Temp (Clear),Working Day,69
2024,7,25,7,Shivajinagar,20.042369139512825,Moderate Temp (Clear),Working Day,101
2023,11,6,7,Yeshwantpur,25.09149325653075,Moderate Temp (Clear),Working Day,100
2023,11,9,11,JP Nagar,28.85960818486077,High Temp (Sunny),Working Day,42
2024,4,4,18,Sadashivanagar,24.113647332429903,Moderate Temp (Clear),Working Day,88
2024,9,12,2,Yeshwantpur,21.821920091829057,Moderate Temp (Clear),Working Day,22
2024,6,1,10,Hebbal,15.199903240990938,Low Temp (Rainy),Holiday,75
2024,11,4,19,Whitefield,26.67920476009129,Moderate Temp (Clear),Working Day,126
2024,2,10,14,Whitefield,29.448190909745744,High Temp (Sunny),Holiday,99
2024,11,15,12,Marathahalli,17.426835785015843,Low Temp (Rainy),Working Day,53
2024,11,4,11,Mahadevapura,24.93837249389624,Moderate Temp (Clear),Working Day,94
2024,7,11,20,R.T. Nagar,21.91221116153503,Moderate Temp (Clear),Working Day,108
2022,4,6,8,R.T. Nagar,31.39282012108909,High Temp (Sunny),Working Day,41
2024,2,20,19,Mahadevapura,25.17267024195219,Moderate Temp (Clear),Working Day,114
2024,9,18,11,Indiranagar,28.33920056426107,High Temp (Sunny),Working Day,64
2024,11,11,15,Rajarajeshwari Nagar,16.792722479333822,Low Temp (Rainy),Working Day,65
2023,10,12,21,Domlur,27.39217248932526,Moderate Temp (Clear),Working Day,87
2024,4,16,7,Indiranagar,30.236379096032277,High Temp (Sunny),Working Day,85
2023,5,14,7,Vasanthnagar,17.443371282930737,Low Temp (Rainy),Holiday,83
2024,8,28,5,Domlur,30.96877047716373,High Temp (Sunny),Working Day,21
2023,1,26,3,Bannerghatta,32.68057412875379,High Temp (Sunny),Working Day,24
2023,2,17,16,JP Nagar,22.52963889760561,Moderate Temp (Clear),Working Day,102
2024,12,5,3,Shivajinagar,13.194538121170908,Low Temp (Rainy),Working Day,21
2023,10,3,1,Koramangala,23.57663487886621,Moderate Temp (Clear),Working Day,20
2024,4,10,11,Koramangala,21.63518161989409,Moderate Temp (Clear),Working Day,98
2022,4,21,11,Yelahanka,30.1333365753003,High Temp (Sunny),Working Day,54
2024,12,5,4,Jayanagar,22.266120596947545,Moderate Temp (Clear),Working Day,20
2024,8,19,23,JP Nagar,19.670530925114207,Moderate Temp (Clear),Working Day,86
2023,10,11,17,Yeshwantpur,30.80636273277102,High Temp (Sunny),Working Day,78
2022,3,9,18,Ulsoor,18.337536063983887,Moderate Temp (Clear),Working Day,90
2024,4,16,14,Bellandur,14.047056858206286,Low Temp (Rainy),Working Day,52
2022,9,2,7,Vijaynagar,31.25542060872736,High Temp (Sunny),Working Day,48
2023,11,12,23,Seshadripuram,20.757399948897454,Moderate Temp (Clear),Holiday,99
2023,7,6,10,Domlur,26.33891498820104,Moderate Temp (Clear),Working Day,107
2024,9,7,1,Bannerghatta,27.08769364574848,Moderate Temp (Clear),Holiday,21
2022,4,3,5,Malleswaram,11.484626387734275,Low Temp (Rainy),Holiday,21
2024,9,23,15,R.T. Nagar,24.1267136104391,Moderate Temp (Clear),Working Day,70
2022,8,25,11,Indiranagar,26.953409130026355,Moderate Temp (Clear),Working Day,68
2022,12,8,17,Bannerghatta,23.53133514645496,Moderate Temp (Clear),Working Day,83
2024,9,15,14,Yeshwantpur,18.775180538242356,Moderate Temp (Clear),Holiday,125
2022,5,2,17,Sadashivanagar,27.83408654762037,Moderate Temp (Clear),Working Day,91
2023,2,28,16,BTM Layout,16.371427660668676,Low Temp (Rainy),Working Day,81
2024,10,10,1,Malleswaram,24.266443190236554,Moderate Temp (Clear),Working Day,22
2023,10,24,6,Jayanagar,26.13676258998316,Moderate Temp (Clear),Working Day,24
2022,12,2,13,Indiranagar,28.32407604646008,High Temp (Sunny),Working Day,42
2024,12,26,8,Banashankari,30.66346317379088,High Temp (Sunny),Working Day,78
2024,3,5,2,Rajajinagar,13.88361529898451,Low Temp (Rainy),Working Day,21
2024,9,13,20,Jayanagar,27.792518938078583,Moderate Temp (Clear),Working Day,87
2024,9,2,13,JP Nagar,24.192266044781192,Moderate Temp (Clear),Working Day,67
2024,6,19,20,Seshadripuram,22.3796002158888,Moderate Temp (Clear),Working Day,103
2024,1,27,22,Ulsoor,32.40894541186026,High Temp (Sunny),Holiday,106
2024,1,1,4,Ulsoor,25.44409134596234,Moderate Temp (Clear),Working Day,20
2024,1,22,22,Ulsoor,37.078082134176725,High Temp (Sunny),Working Day,71
2022,11,2,22,Bellandur,37.83822731053302,High Temp (Sunny),Working Day,39
2024,1,6,9,Rajarajeshwari Nagar,16.873806893170414,Low Temp (Rainy),Holiday,60
2022,6,18,15,Jayanagar,22.31583081619895,Moderate Temp (Clear),Holiday,113
2023,3,7,2,Banashankari,24.07944577034085,Moderate Temp (Clear),Working Day,20
2024,3,21,5,Vasanthnagar,24.949268546228367,Moderate Temp (Clear),Working Day,23
2024,7,18,11,Hebbal,28.08798687406324,High Temp (Sunny),Working Day,45
2024,3,23,7,BTM Layout,26.34843413825523,Moderate Temp (Clear),Holiday,111
2023,8,15,15,HSR Layout,19.48899457842825,Moderate Temp (Clear),Working Day,68
2022,12,9,4,HSR Layout,19.642424694766213,Moderate Temp (Clear),Working Day,23
2023,6,11,13,Whitefield,29.109602239455818,High Temp (Sunny),Holiday,85
2023,8,23,1,Vasanthnagar,20.474780834415377,Moderate Temp (Clear),Working Day,24
2024,2,9,11,Bannerghatta,15.457515112698584,Low Temp (Rainy),Working Day,77
2023,7,23,16,Whitefield,25.99482607446849,Moderate Temp (Clear),Holiday,136
2023,7,3,23,Rajarajeshwari Nagar,10.700909115226168,Low Temp (Rainy),Working Day,49
2024,8,7,17,Marathahalli,28.08914205854949,High Temp (Sunny),Working Day,77
2024,7,20,4,Yelahanka,19.053307770995787,Moderate Temp (Clear),Holiday,25
2024,6,22,12,HSR Layout,30.98873505224956,High Temp (Sunny),Holiday,83
2023,8,8,1,Vasanthnagar,27.82049754793186,Moderate Temp (Clear),Working Day,23
2022,12,23,22,Yeshwantpur,13.303482656160629,Low Temp (Rainy),Working Day,37
2024,4,6,4,Mahadevapura,30.560521742396062,High Temp (Sunny),Holiday,24
2024,12,17,16,Mahadevapura,27.4428664105557,Moderate Temp (Clear),Working Day,117
2023,5,4,13,Shivajinagar,26.712657421704435,Moderate Temp (Clear),Working Day,64
2024,10,9,0,Vijaynagar,26.716768461244477,Moderate Temp (Clear),Working Day,25
2024,12,10,9,HSR Layout,27.963885270178075,Moderate Temp (Clear),Working Day,118
2023,11,19,12,Koramangala,24.862367499808723,Moderate Temp (Clear),Holiday,128
2024,8,11,21,Indiranagar,25.286165914309677,Moderate Temp (Clear),Holiday,149
2024,7,5,11,Bellandur,13.252158409497904,Low Temp (Rainy),Working Day,60
2022,8,6,15,Rajarajeshwari Nagar,19.038118172622355,Moderate Temp (Clear),Holiday,105
2022,6,1,8,Mahadevapura,23.87559510129259,Moderate Temp (Clear),Working Day,84
2023,11,9,19,Hebbal,18.132294178478023,Moderate Temp (Clear),Working Day,104
2023,2,15,7,Whitefield,39.31312053535724,High Temp (Sunny),Working Day,80
2022,11,12,19,Shivajinagar,28.701135093424675,High Temp (Sunny),Holiday,79
2024,10,3,10,Hebbal,29.141982762824,High Temp (Sunny),Working Day,73
2024,5,17,23,Banashankari,24.97427983614387,Moderate Temp (Clear),Working Day,84
2022,8,2,0,Marathahalli,15.0100145282116,Low Temp (Rainy),Working Day,24
2024,3,3,2,Marathahalli,25.45347402931276,Moderate Temp (Clear),Holiday,21
2023,7,27,15,Koramangala,9.7442458324975,Low Temp (Rainy),Working Day,57
2023,5,20,21,Vasanthnagar,18.428075545709213,Moderate Temp (Clear),Holiday,121
2024,10,2,21,R.T. Nagar,8.97222479658419,Low Temp (Rainy),Working Day,84
2023,1,17,8,Malleswaram,16.614390877890635,Low Temp (Rainy),Working Day,71
2024,7,16,14,Malleswaram,9.211699818863492,Low Temp (Rainy),Working Day,63
2024,1,19,19,Malleswaram,19.449408005632844,Moderate Temp (Clear),Working Day,112
2022,6,10,3,Shivajinagar,21.5068224950206,Moderate Temp (Clear),Working Day,20
2024,6,25,18,Mahadevapura,25.64063177192634,Moderate Temp (Clear),Working Day,97
2023,7,13,23,Mahadevapura,21.332084090820647,Moderate Temp (Clear),Working Day,81
2023,11,15,20,Jeevanbhima Nagar,24.08789813102796,Moderate Temp (Clear),Working Day,89
2022,7,21,20,Jeevanbhima Nagar,29.216083108697116,High Temp (Sunny),Working Day,69
2023,9,15,23,Bellandur,22.005367878091253,Moderate Temp (Clear),Working Day,65
2024,10,6,12,Domlur,25.018416134810376,Moderate Temp (Clear),Holiday,120
2023,3,6,13,Sadashivanagar,17.44088417162324,Low Temp (Rainy),Working Day,67
2023,2,2,22,Bellandur,23.855851901973875,Moderate Temp (Clear),Working Day,69
2024,8,20,5,Sadashivanagar,28.42876105813161,High Temp (Sunny),Working Day,23
2024,2,9,14,Ulsoor,18.620888635456435,Moderate Temp (Clear),Working Day,93
2024,3,4,17,Rajarajeshwari Nagar,14.620341498083445,Low Temp (Rainy),Working Day,75
2024,8,25,6,Jayanagar,6.502514428420234,Low Temp (Rainy),Holiday,25
2024,4,11,2,Whitefield,18.227076367769374,Moderate Temp (Clear),Working Day,23
2024,9,7,10,Seshadripuram,17.051702938767512,Low Temp (Rainy),Holiday,75
2022,4,6,8,Koramangala,15.382236229698606,Low Temp (Rainy),Working Day,61
2022,11,1,7,Jayanagar,21.4699985774723,Moderate Temp (Clear),Working Day,123
2022,5,23,5,R.T. Nagar,18.37772453706028,Moderate Temp (Clear),Working Day,23
2024,8,21,17,Hebbal,22.1558768643654,Moderate Temp (Clear),Working Day,93
2024,11,8,4,Rajarajeshwari Nagar,25.207193050030828,Moderate Temp (Clear),Working Day,24
2023,6,12,23,Jayanagar,21.28027823100101,Moderate Temp (Clear),Working Day,76
2022,1,24,10,Ulsoor,27.44712928535788,Moderate Temp (Clear),Working Day,100
2024,3,6,3,JP Nagar,29.74051277422909,High Temp (Sunny),Working Day,20
2022,6,20,2,Mahadevapura,16.161936993293217,Low Temp (Rainy),Working Day,25
2022,11,10,18,Mahadevapura,33.75092817559896,High Temp (Sunny),Working Day,80
2022,5,4,1,Rajarajeshwari Nagar,17.065942368899005,Low Temp (Rainy),Working Day,20
2024,3,23,20,Shivajinagar,25.962386457146547,Moderate Temp (Clear),Holiday,146
2023,1,11,1,Rajajinagar,23.56085196896273,Moderate Temp (Clear),Working Day,20
2023,1,17,4,Vijaynagar,25.204174987814675,Moderate Temp (Clear),Working Day,23
2023,2,4,4,Mahadevapura,19.24162816650996,Moderate Temp (Clear),Holiday,23
2024,11,1,17,Rajarajeshwari Nagar,23.258582538978395,Moderate Temp (Clear),Working Day,95
2023,5,22,13,Domlur,19.26271252612125,Moderate Temp (Clear),Working Day,94
2024,4,11,3,Yeshwantpur,26.3449997808573,Moderate Temp (Clear),Working Day,22
2024,9,13,5,Jeevanbhima Nagar,30.38403008216298,High Temp (Sunny),Working Day,23
2022,1,5,0,Seshadripuram,12.852712627815984,Low Temp (Rainy),Working Day,22
2023,2,15,21,Vasanthnagar,19.214877774823982,Moderate Temp (Clear),Working Day,105
2023,2,23,4,Vijaynagar,26.582914003281164,Moderate Temp (Clear),Working Day,24
2024,4,7,12,Domlur,19.17850019146658,Moderate Temp (Clear),Holiday,133
2024,4,21,0,Indiranagar,20.246698878982944,Moderate Temp (Clear),Holiday,24
2024,9,18,21,Sadashivanagar,22.78140800133275,Moderate Temp (Clear),Working Day,120
2024,11,19,16,Rajarajeshwari Nagar,24.63218517537337,Moderate Temp (Clear),Working Day,119
2024,6,28,9,Vasanthnagar,20.122935244896755,Moderate Temp (Clear),Working Day,116
2024,12,15,15,Seshadripuram,30.19374710082289,High Temp (Sunny),Holiday,78
2022,6,27,13,Rajarajeshwari Nagar,16.49753037310811,Low Temp (Rainy),Working Day,46
2024,8,3,17,Vasanthnagar,20.12131796263636,Moderate Temp (Clear),Holiday,135
2024,1,2,10,Sadashivanagar,18.8790224949517,Moderate Temp (Clear),Working Day,93
2022,1,12,12,Seshadripuram,15.333965754221266,Low Temp (Rainy),Working Day,55
2024,10,16,17,Yeshwantpur,28.966765902812423,High Temp (Sunny),Working Day,72
2022,10,8,8,Marathahalli,16.750176648243393,Low Temp (Rainy),Holiday,75
2024,11,17,23,Marathahalli,13.433602293738762,Low Temp (Rainy),Holiday,92
2024,2,5,17,Bannerghatta,32.55108305028563,High Temp (Sunny),Working Day,86
2024,12,12,15,Rajajinagar,12.69993594385345,Low Temp (Rainy),Working Day,54
2024,8,22,19,Vijaynagar,32.07141708142425,High Temp (Sunny),Working Day,65
2023,10,4,15,Koramangala,32.21000200136345,High Temp (Sunny),Working Day,61
2024,10,3,15,Seshadripuram,17.060466338347386,Low Temp (Rainy),Working Day,45
2024,10,3,1,Hebbal,26.40344470127749,Moderate Temp (Clear),Working Day,25
2024,12,4,4,HSR Layout,22.807703184249416,Moderate Temp (Clear),Working Day,21
2024,8,21,22,Malleswaram,25.229264296856098,Moderate Temp (Clear),Working Day,95
2022,8,14,19,Ulsoor,35.33064182752781,High Temp (Sunny),Holiday,104
2024,10,1,7,Indiranagar,29.203319918013563,High Temp (Sunny),Working Day,72
2023,1,25,12,Ulsoor,24.98718436833541,Moderate Temp (Clear),Working Day,92
2023,1,13,13,Jayanagar,18.000547023105305,Moderate Temp (Clear),Working Day,76
2024,5,16,10,Marathahalli,20.429254108592296,Moderate Temp (Clear),Working Day,113
2024,4,6,4,Jayanagar,28.74420085236293,High Temp (Sunny),Holiday,23
2024,6,10,5,Seshadripuram,19.803039779836844,Moderate Temp (Clear),Working Day,20
2022,3,21,21,Vijaynagar,28.93908011123525,High Temp (Sunny),Working Day,60
2023,12,21,2,Sadashivanagar,21.651877041815368,Moderate Temp (Clear),Working Day,24
2022,9,21,14,Hebbal,28.52255937168148,High Temp (Sunny),Working Day,47
2022,8,6,4,Yelahanka,30.779042139226547,High Temp (Sunny),Holiday,24
2024,7,9,1,Mahadevapura,19.78817581134617,Moderate Temp (Clear),Working Day,22
2022,9,2,21,Domlur,28.64871682566965,High Temp (Sunny),Working Day,64
2024,4,25,11,Indiranagar,16.955730696295007,Low Temp (Rainy),Working Day,68
2022,8,11,18,Rajarajeshwari Nagar,21.102336804666333,Moderate Temp (Clear),Working Day,81
2023,10,22,11,Banashankari,22.6592793239495,Moderate Temp (Clear),Holiday,107
2024,11,10,17,Sadashivanagar,12.207775083307135,Low Temp (Rainy),Holiday,123
2024,7,14,20,Vijaynagar,27.3586969095019,Moderate Temp (Clear),Holiday,146
2022,7,14,0,Hebbal,20.80469339377164,Moderate Temp (Clear),Working Day,20
2023,6,17,10,Koramangala,24.611781555818204,Moderate Temp (Clear),Holiday,118
2023,4,24,11,Yelahanka,13.57479366408928,Low Temp (Rainy),Working Day,48
2024,8,7,12,Rajarajeshwari Nagar,32.05181217200612,High Temp (Sunny),Working Day,53
2024,9,6,20,Vijaynagar,29.026115415152155,High Temp (Sunny),Working Day,80
2023,6,15,20,Malleswaram,26.907406963816523,Moderate Temp (Clear),Working Day,114
2023,7,26,18,Whitefield,19.08177556094108,Moderate Temp (Clear),Working Day,94
2022,4,25,9,Rajarajeshwari Nagar,23.323427264531976,Moderate Temp (Clear),Working Day,98
2024,3,7,15,HSR Layout,15.876330421339707,Low Temp (Rainy),Working Day,43
2024,7,26,18,Bellandur,24.057112561287614,Moderate Temp (Clear),Working Day,110
2024,9,13,16,Koramangala,17.92338677662267,Low Temp (Rainy),Working Day,80
2023,3,26,8,Yeshwantpur,18.76799283833756,Moderate Temp (Clear),Holiday,110
2024,9,15,7,Vasanthnagar,20.588782802559205,Moderate Temp (Clear),Holiday,129
2024,6,16,20,Jeevanbhima Nagar,16.934901291223696,Low Temp (Rainy),Holiday,119
2024,7,13,11,Vasanthnagar,30.196395568881044,High Temp (Sunny),Holiday,75
2022,12,5,13,Vijaynagar,23.162235338601352,Moderate Temp (Clear),Working Day,74
2023,12,16,17,Sadashivanagar,34.3440244328362,High Temp (Sunny),Holiday,96
2024,9,12,14,Vijaynagar,15.60068753132684,Low Temp (Rainy),Working Day,69
2022,3,26,13,Malleswaram,26.86505314224461,Moderate Temp (Clear),Holiday,95
2024,8,3,19,Yeshwantpur,21.78569121681608,Moderate Temp (Clear),Holiday,130
2024,12,8,21,Jeevanbhima Nagar,23.884873550568056,Moderate Temp (Clear),Holiday,158
2023,1,6,8,BTM Layout,22.894754969110352,Moderate Temp (Clear),Working Day,106
2022,6,21,16,Bannerghatta,20.899247472205825,Moderate Temp (Clear),Working Day,104
2024,2,20,2,Rajarajeshwari Nagar,23.46937028697468,Moderate Temp (Clear),Working Day,24
2024,9,3,10,Marathahalli,9.740894582225623,Low Temp (Rainy),Working Day,89
2024,3,5,12,Domlur,20.34737888259557,Moderate Temp (Clear),Working Day,82
2023,3,4,7,HSR Layout,21.73577491377573,Moderate Temp (Clear),Holiday,101
2023,11,25,12,Malleswaram,19.47456650815838,Moderate Temp (Clear),Holiday,119
2024,3,19,21,Hebbal,26.41679896143622,Moderate Temp (Clear),Working Day,116
2023,8,28,4,Rajajinagar,23.34769553627484,Moderate Temp (Clear),Working Day,22
2022,4,12,20,Marathahalli,22.96783753683051,Moderate Temp (Clear),Working Day,95
2023,7,4,18,Marathahalli,25.15391286292598,Moderate Temp (Clear),Working Day,93
2024,11,17,4,Hebbal,22.73210793228892,Moderate Temp (Clear),Holiday,22
2023,6,21,22,Yeshwantpur,14.785951186639256,Low Temp (Rainy),Working Day,44
2024,4,26,21,Rajajinagar,19.112941926691622,Moderate Temp (Clear),Working Day,92
2022,1,27,17,Jayanagar,28.78019181477396,High Temp (Sunny),Working Day,60
2024,2,24,8,Ulsoor,23.51192768346809,Moderate Temp (Clear),Holiday,120
2024,1,24,0,Domlur,23.374401191442885,Moderate Temp (Clear),Working Day,21
2024,12,10,15,Whitefield,28.770997287638053,High Temp (Sunny),Working Day,69
2023,12,7,5,Seshadripuram,15.296058358271136,Low Temp (Rainy),Working Day,20
2023,2,1,12,Domlur,27.570095587195045,Moderate Temp (Clear),Working Day,92
2024,8,3,0,Yelahanka,22.871267369982235,Moderate Temp (Clear),Holiday,20
2024,3,8,10,Indiranagar,20.46070899751037,Moderate Temp (Clear),Working Day,107
2024,4,18,13,Banashankari,31.35912481437917,High Temp (Sunny),Working Day,56
2024,5,8,11,Banashankari,20.698055612091867,Moderate Temp (Clear),Working Day,101
2022,12,1,18,Sadashivanagar,24.910591050218382,Moderate Temp (Clear),Working Day,96
2023,9,3,9,JP Nagar,17.82167220675856,Low Temp (Rainy),Holiday,88
2022,4,13,21,Yeshwantpur,24.57790785056703,Moderate Temp (Clear),Working Day,77
2024,1,15,13,Marathahalli,13.732303467852816,Low Temp (Rainy),Working Day,49
2024,2,7,15,Jeevanbhima Nagar,17.497854904619793,Low Temp (Rainy),Working Day,44
2022,5,2,10,Rajarajeshwari Nagar,16.264673154544997,Low Temp (Rainy),Working Day,60
2024,11,23,10,Marathahalli,18.66323811708579,Moderate Temp (Clear),Holiday,106
2024,1,8,9,Yeshwantpur,6.01163109382324,Low Temp (Rainy),Working Day,77
2023,2,2,3,Banashankari,23.20108201364944,Moderate Temp (Clear),Working Day,25
2024,6,4,2,Malleswaram,21.748784597769617,Moderate Temp (Clear),Working Day,20
2023,5,11,21,Hebbal,34.535920518418905,High Temp (Sunny),Working Day,50
2024,5,12,3,Hebbal,26.426580263208983,Moderate Temp (Clear),Holiday,25
2023,2,23,8,Mahadevapura,14.968640892642638,Low Temp (Rainy),Working Day,80
2023,4,28,17,Vijaynagar,25.141423275471944,Moderate Temp (Clear),Working Day,107
2024,3,8,17,Rajarajeshwari Nagar,10.958652675222345,Low Temp (Rainy),Working Day,72
2023,9,17,22,Bannerghatta,17.028367185246438,Low Temp (Rainy),Holiday,66
2024,3,27,20,Banashankari,18.815667457078444,Moderate Temp (Clear),Working Day,99
2024,7,1,19,BTM Layout,15.684821805415693,Low Temp (Rainy),Working Day,67
2024,9,1,4,JP Nagar,20.530033793863197,Moderate Temp (Clear),Holiday,21
2024,10,14,9,Shivajinagar,8.034713540495613,Low Temp (Rainy),Working Day,88
2024,11,4,16,Shivajinagar,35.27928045061509,High Temp (Sunny),Working Day,83
2022,7,1,21,Bannerghatta,27.41289213636549,Moderate Temp (Clear),Working Day,80
2022,3,13,17,Shivajinagar,37.03097173099816,High Temp (Sunny),Holiday,79
2022,9,2,16,Hebbal,29.18610431658984,High Temp (Sunny),Working Day,67
2022,8,4,12,Rajajinagar,19.03594972802408,Moderate Temp (Clear),Working Day,86
2024,6,28,20,HSR Layout,26.11967288441628,Moderate Temp (Clear),Working Day,124
2022,7,25,2,Bannerghatta,24.363631905651285,Moderate Temp (Clear),Working Day,20
2023,3,7,20,Vasanthnagar,22.097964108333816,Moderate Temp (Clear),Working Day,97
2023,1,17,2,Shivajinagar,22.427926175892928,Moderate Temp (Clear),Working Day,25
2022,7,12,18,Koramangala,29.186103141606218,High Temp (Sunny),Working Day,73
2024,4,25,2,Banashankari,19.57147982083728,Moderate Temp (Clear),Working Day,23
2024,4,23,0,Mahadevapura,16.021513024310387,Low Temp (Rainy),Working Day,22
2023,7,11,18,Indiranagar,21.29003822288974,Moderate Temp (Clear),Working Day,89
2024,6,20,19,Vasanthnagar,12.916882442093865,Low Temp (Rainy),Working Day,80
2022,8,2,7,Rajajinagar,22.79448433389516,Moderate Temp (Clear),Working Day,80
2024,9,7,7,Mahadevapura,29.358744813185268,High Temp (Sunny),Holiday,75
2023,3,20,17,Banashankari,13.858425422817056,Low Temp (Rainy),Working Day,70
2023,3,12,10,Jeevanbhima Nagar,36.54305828793321,High Temp (Sunny),Holiday,68
2022,3,26,16,Rajarajeshwari Nagar,22.71083157373465,Moderate Temp (Clear),Holiday,107
2024,1,5,2,Jeevanbhima Nagar,28.339838732184703,High Temp (Sunny),Working Day,20
2024,2,17,21,Shivajinagar,28.71080677718601,High Temp (Sunny),Holiday,98
2023,3,14,20,Jayanagar,20.53227291080414,Moderate Temp (Clear),Working Day,108
2024,3,27,16,Rajajinagar,25.62427919730665,Moderate Temp (Clear),Working Day,109
2024,4,11,21,Whitefield,22.327922446653467,Moderate Temp (Clear),Working Day,95
2022,6,17,19,Seshadripuram,17.55917027115948,Low Temp (Rainy),Working Day,49
2024,11,14,9,Rajarajeshwari Nagar,25.84941753488519,Moderate Temp (Clear),Working Day,116
2023,1,20,6,JP Nagar,28.07727806802085,High Temp (Sunny),Working Day,22
2024,12,9,10,Rajarajeshwari Nagar,27.64618116033737,Moderate Temp (Clear),Working Day,112
2024,1,28,16,Mahadevapura,29.6249981346626,High Temp (Sunny),Holiday,110
2024,10,23,10,BTM Layout,8.98265977566609,Low Temp (Rainy),Working Day,72
2022,7,3,11,Jayanagar,18.57165426382173,Moderate Temp (Clear),Holiday,89
2023,8,3,18,Malleswaram,36.96608384052753,High Temp (Sunny),Working Day,70
2023,4,14,12,Malleswaram,26.10980933835918,Moderate Temp (Clear),Working Day,89
2024,8,18,19,Jeevanbhima Nagar,23.05487470796082,Moderate Temp (Clear),Holiday,129
2024,9,1,22,Domlur,24.824369849855724,Moderate Temp (Clear),Holiday,122
2024,1,21,13,Hebbal,20.730095846061893,Moderate Temp (Clear),Holiday,116
2023,7,12,15,Jeevanbhima Nagar,14.085274506983316,Low Temp (Rainy),Working Day,37
2023,5,4,12,Yelahanka,25.863590706512937,Moderate Temp (Clear),Working Day,95
2023,6,4,2,Hebbal,16.4311773747027,Low Temp (Rainy),Holiday,21
2022,10,9,14,Jayanagar,22.77701020243742,Moderate Temp (Clear),Holiday,92
2023,9,9,4,Yelahanka,23.95951449743822,Moderate Temp (Clear),Holiday,22
